央视频道,#genre#
超级综艺,http://39.134.13.35:6610/000000001000/1000000006000268002/index.m3u8?
超级综艺,http://39.134.67.7:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225714/index.m3u8
金牌综艺,http://39.134.13.35:6610/000000001000/6399725674632152632/index.m3u8?
金牌综艺,http://39.134.67.7:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225666/index.m3u8
炫舞未来,http://39.134.13.35:6610/000000001000/1000000001000000515/index.m3u8?
炫舞未来,http://39.134.67.7:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225719/index.m3u8
动作电影,http://39.134.13.35:6610/000000001000/1000000004000018653/index.m3u8?
动作电影,http://39.134.67.7:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225661/index.m3u8
古装剧场,http://39.134.13.35:6610/000000001000/6859053933687922163/index.m3u8?
古装剧场,http://39.134.67.7:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225663/index.m3u8
农业致富,http://39.134.13.35:6610/000000001000/6193684637634073625/index.m3u8?
农业致富,http://39.134.67.7:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225683/index.m3u8
武搏世界,http://39.134.13.35:6610/000000001000/bokesen/index.m3u8?
武搏世界,http://39.134.67.2:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225680/index.m3u8
爱情喜剧,http://39.134.13.35:6610/000000001000/8393829412396288037/index.m3u8?
爱情喜剧,http://39.134.67.7:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225669/index.m3u8
魅力潇湘,http://39.134.13.35:6610/000000001000/1000000001000006197/index.m3u8?
东北热剧,http://39.134.13.35:6610/000000001000/1000000005000266013/index.m3u8?
东北热剧,http://39.134.66.82/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225741/index.m3u8
欢乐剧场,http://39.134.13.35:6610/000000001000/1000000005000266012/index.m3u8?
欢乐剧场,http://39.134.66.82/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225742/index.m3u8
精品萌宠,http://39.134.13.35:6610/000000001000/1000000006000032328/index.m3u8?
精品萌宠,http://39.134.66.80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226505/index.m3u8
家庭剧场,http://39.134.13.35:6610/000000001000/6316377948248689070/index.m3u8?
家庭剧场,http://39.134.66.7:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225677/index.m3u8
怡伴健康,http://39.134.13.35:6610/000000001000/7820874641606664941/index.m3u8?
怡伴健康,http://39.134.66.80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225673/index.m3u8
睛彩竞技,http://39.134.13.35:6610/000000001000/1000000006000270001/index.m3u8?
睛彩竞技,http://39.134.67.7:80/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226124/index.m3u8
睛彩篮球,http://39.134.67.7:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226469/index.m3u8
睛彩广场舞,http://39.134.67.7:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226472/index.m3u8
